sample_id,image_path,label,label_id,split,source,confidence,sample_weight,sha256,width,height,prob_Happy,prob_Sad,prob_Angry,prob_Fear,votes,confidence_a,confidence_b,confidence_c
real_train_000000,C:\Users\alper\Desktop\CCDDA\Dataset\NewArts2\NewArts2\Angry\a96.jpeg,Angry,2,train,real:NewArts2,1.0,1.0,ddb077a772a9f8ee067c6e7d4f61f98d6129809d112054091fdc01f085137e47,192,262,,,,,,,,
real_train_000001,C:\Users\alper\Desktop\CCDDA\Dataset\data\Angry\a39.jpg,Angry,2,train,real:data,1.0,1.0,ddbb5a5e4a1d43970970cdeae80d6f50b602dda6731f746d925b1245e26d1041,640,640,,,,,,,,
real_train_000002,C:\Users\alper\Desktop\CCDDA\Dataset\data\Happy\h59.jpg,Happy,0,train,real:data,1.0,1.0,c15282623f96a2dc593fe358f110c4603c84a8c61b931896d61a4a4d29eb11c3,390,280,,,,,,,,
real_train_000003,C:\Users\alper\Desktop\CCDDA\Dataset\data\Angry\a10.jpg,Angry,2,train,real:data,1.0,1.0,d6660b10095b992359af0788caaad9f5ebf1e9a0212cd01dd0349b734f919dc0,254,199,,,,,,,,
real_train_000004,C:\Users\alper\Desktop\CCDDA\Dataset\data\Happy\h92.jpeg,Happy,0,train,real:data,1.0,1.0,56b78fb9f1b3f65a95f0f8d4f6aff2ca3b9069d8c820fce9b81daaeee4503189,300,168,,,,,,,,
real_train_000005,C:\Users\alper\Desktop\CCDDA\Dataset\data\Sad\new_s4.jpg,Sad,1,train,real:data,1.0,1.0,92c0ebd97a4ed7ac3efaf50a40f0f843c71b8c4de52c2865c4e87328095572c6,259,194,,,,,,,,
real_train_000006,C:\Users\alper\Desktop\CCDDA\Dataset\data\Angry\a2.jpg,Angry,2,train,real:data,1.0,1.0,7e9e737e64634a185e98e12f9519f1b2364e4c3ea516c625b139232561034f6e,612,415,,,,,,,,
real_train_000007,C:\Users\alper\Desktop\CCDDA\Dataset\data\Fear\f26.jpg,Fear,3,train,real:data,1.0,1.0,5f18da9ce508ae6d024671e9a0c6c844e920524ad3e21cd89604cbe4c1efd60f,230,148,,,,,,,,
real_train_000008,C:\Users\alper\Desktop\CCDDA\Dataset\NewArts2\NewArts2\Angry\a31.jpg,Angry,2,train,real:NewArts2,1.0,1.0,2eb601aac28e43e81f6d7bd6c5f0253411b2850a0e364fb540768811b25e584f,640,640,,,,,,,,
real_train_000009,C:\Users\alper\Desktop\CCDDA\Dataset\data\Sad\s86.jpeg,Sad,1,train,real:data,1.0,1.0,ece492cb7e55f4557c798031aedaaa2084c529a553604c131bef8024b9383394,194,259,,,,,,,,
