sample_id,fg_area_ratio,fg_area_ratio_valid,empty_space_ratio,empty_space_ratio_valid,bbox_area_ratio,bbox_area_ratio_valid,centroid_x_norm,centroid_x_norm_valid,centroid_y_norm,centroid_y_norm_valid,top_mass_ratio,top_mass_ratio_valid,bottom_mass_ratio,bottom_mass_ratio_valid,stroke_darkness_mean,stroke_darkness_mean_valid,stroke_darkness_std,stroke_darkness_std_valid,component_count_norm,component_count_norm_valid,skeleton_break_count_norm,skeleton_break_count_norm_valid,shading_ratio,shading_ratio_valid,unique_hue_count,unique_hue_count_valid,warm_ratio,warm_ratio_valid,dark_color_ratio,dark_color_ratio_valid,sharp_angle_ratio,sharp_angle_ratio_valid,dominant_orientation_abs,dominant_orientation_abs_valid,figure_integrity_proxy,figure_integrity_proxy_valid
101-1B-676-M-H,0.1203707680106163,1,0.8796292543411255,1,1.0,1,0.2880350649356842,1,0.5914295315742493,1,0.3386373817920685,1,0.6613625884056091,1,0.5840897560119629,1,0.22370408475399017,1,18.829851150512695,1,60.158409118652344,1,0.5980725884437561,1,6.0,1,0.8521432280540466,1,0.011966937221586704,1,0.1621951162815094,1,0.20048053562641144,1,0.2407415360212326,1
101-1D-624-M-S,0.04072427377104759,1,0.9592757225036621,1,0.6806424856185913,1,0.5086648464202881,1,0.31944578886032104,1,0.8423423171043396,1,0.157657653093338,1,0.39955317974090576,1,0.24459798634052277,1,9.33399486541748,1,26.922910690307617,1,0.1613672524690628,1,14.0,1,0.5659663677215576,1,0.0035771322436630726,1,0.13548387587070465,1,0.3924606442451477,1,0.11474879086017609,1
101-1D-853-F-S,0.07145632058382034,1,0.9285436868667603,1,1.0,1,0.4223426282405853,1,0.4795556366443634,1,0.4588492810726166,1,0.541150689125061,1,0.19816267490386963,1,0.14301908016204834,1,14.675414085388184,1,29.188966751098633,1,0.0024916944094002247,1,10.0,1,0.16895073652267456,1,0.0,1,0.13686130940914154,1,0.23808737099170685,1,0.14291264116764069,1
101-1E-272-F-S,0.2777376174926758,1,0.7222623825073242,1,1.0,1,0.5141013264656067,1,0.5311008095741272,1,0.4529789984226227,1,0.5470209717750549,1,0.5490022301673889,1,0.10570356994867325,1,52.92860794067383,1,141.95225524902344,1,0.08689317852258682,1,7.0,1,0.9675001502037048,1,0.0033019683323800564,1,0.1479111760854721,1,0.017592718824744225,1,0.5,1
101-1H-236-M-S,0.045250993221998215,1,0.9547489881515503,1,0.9913944005966187,1,0.429111123085022,1,0.42523255944252014,1,0.5570525527000427,1,0.4429474174976349,1,0.2343103140592575,1,0.17715416848659515,1,11.222375869750977,1,26.275466918945312,1,0.055562179535627365,1,7.0,1,0.2801140546798706,1,0.0015484719770029187,1,0.11288180947303772,1,0.8300039768218994,1,0.09050198644399643,1
101-1H-724-M-S,0.19733037054538727,1,0.8026696443557739,1,1.0,1,0.5471938252449036,1,0.4546586275100708,1,0.5886421799659729,1,0.4113577902317047,1,0.4865474998950958,1,0.2809402346611023,1,25.034530639648438,1,89.45528411865234,1,0.363044798374176,1,9.0,1,0.6567166447639465,1,0.059602685272693634,1,0.20166319608688354,1,0.14023810625076294,1,0.39466074109077454,1
101-1I-1196-M-S,0.0444524772465229,1,0.9555475115776062,1,0.902538001537323,1,0.5058072209358215,1,0.3903372883796692,1,0.6069911122322083,1,0.39300885796546936,1,0.3457282483577728,1,0.21869270503520966,1,5.719095230102539,1,22.121028900146484,1,0.10025488585233688,1,12.0,1,0.24644723534584045,1,0.0005557234399020672,1,0.17468354105949402,1,0.11747471988201141,1,0.3029502034187317,1
101-1I-298-M-S,0.05091073736548424,1,0.9490892887115479,1,1.0,1,0.5476449728012085,1,0.6712425947189331,1,0.2759643793106079,1,0.7240356206893921,1,0.3718312978744507,1,0.2031603753566742,1,3.18326997756958,1,19.477296829223633,1,0.12462908029556274,1,6.0,1,0.2992779612541199,1,2.697686431929469e-05,1,0.16267941892147064,1,0.07422430068254471,1,0.4426579773426056,1
101-1I-348-M-H,0.016801191493868828,1,0.9831988215446472,1,0.24147531390190125,1,0.5185904502868652,1,0.8384474515914917,1,0.0,1,1.0,1,0.34079617261886597,1,0.22744295001029968,1,2.7516400814056396,1,6.474447727203369,1,0.09441233426332474,1,8.0,1,0.25703972578048706,1,0.0005503280553966761,1,0.17241379618644714,1,0.027942143380641937,1,0.39602038264274597,1
101-1I-604-M-S,0.015123230405151844,1,0.9848767518997192,1,0.5791069865226746,1,0.4369230568408966,1,0.34052208065986633,1,0.9875133633613586,1,0.012486621737480164,1,0.5075794458389282,1,0.3360600173473358,1,1.7265193462371826,1,7.607475757598877,1,0.45843738317489624,1,7.0,1,0.8546153903007507,1,0.005584211088716984,1,0.06622516363859177,1,0.04224184527993202,1,0.4439204931259155,1
