sample_id,image_path,orig_label,orig_label_2,split,label,label_id,confidence,source,happy_prob,sad_prob,angry_prob,fear_prob
model_train_hap_000000,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-1240-M-H.jpg,Happiness,Happy,train,Happy,0,0.6488345265388489,model_pseudo,0.6488345265388489,0.18062210083007812,0.08551651239395142,0.08502689003944397
model_train_hap_000001,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-1298-M-H.jpg,Happiness,Happy,train,Happy,0,0.7466064095497131,model_pseudo,0.7466064095497131,0.1672133505344391,0.04988076910376549,0.03629951924085617
model_train_hap_000002,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-141-M-H.jpg,Happiness,Happy,train,Happy,0,0.43476757407188416,model_pseudo,0.43476757407188416,0.08517155796289444,0.4230622947216034,0.056998591870069504
model_train_hap_000003,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-1543-M-H.jpg,Happiness,Happy,train,Happy,0,0.5217809677124023,model_pseudo,0.5217809677124023,0.15004125237464905,0.08117981255054474,0.24699798226356506
model_train_hap_000004,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-331-F-H.jpg,Happiness,Happy,train,Sad,1,0.7956199049949646,model_pseudo,0.07838504016399384,0.7956199049949646,0.05518430471420288,0.0708107203245163
model_train_hap_000005,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-418-M-H.jpg,Happiness,Happy,train,Happy,0,0.45604854822158813,model_pseudo,0.45604854822158813,0.41335397958755493,0.04731552302837372,0.08328190445899963
model_train_hap_000006,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-430-M-H.jpg,Happiness,Happy,train,Happy,0,0.7414090037345886,model_pseudo,0.7414090037345886,0.1748412400484085,0.046771880239248276,0.03697787970304489
model_train_hap_000007,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-532-M-H.jpg,Happiness,Happy,train,Sad,1,0.38767221570014954,model_pseudo,0.32991158962249756,0.38767221570014954,0.1540902704000473,0.128325954079628
model_train_hap_000008,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-544-M-H.jpg,Happiness,Happy,train,Sad,1,0.43966343998908997,model_pseudo,0.38877207040786743,0.43966343998908997,0.11272003501653671,0.05884435772895813
model_train_hap_000009,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-606-F-H.jpg,Happiness,Happy,train,Happy,0,0.9435972571372986,model_pseudo,0.9435972571372986,0.02312258817255497,0.016768215224146843,0.016511885449290276
