sample_id,image_path,orig_label,orig_label_2,split,label,label_id,confidence,source,happy_prob,sad_prob,angry_prob,fear_prob
modelv2_train_hap_000000,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-1240-M-H.jpg,Happiness,Happy,train,Happy,0,0.787757933139801,model_v2_pseudo,0.787757933139801,0.059610068798065186,0.11405505985021591,0.03857690840959549
modelv2_train_hap_000001,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-1298-M-H.jpg,Happiness,Happy,train,Happy,0,0.8546780943870544,model_v2_pseudo,0.8546780943870544,0.06200764328241348,0.057608187198638916,0.025706177577376366
modelv2_train_hap_000002,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-141-M-H.jpg,Happiness,Happy,train,Fear,3,0.934360921382904,model_v2_pseudo,0.012917577289044857,0.021061977371573448,0.03165947645902634,0.934360921382904
modelv2_train_hap_000003,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-1543-M-H.jpg,Happiness,Happy,train,Fear,3,0.6827511787414551,model_v2_pseudo,0.09076140075922012,0.18198372423648834,0.04450371488928795,0.6827511787414551
modelv2_train_hap_000004,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-331-F-H.jpg,Happiness,Happy,train,Sad,1,0.8229537010192871,model_v2_pseudo,0.06681354343891144,0.8229537010192871,0.06210434064269066,0.048128414899110794
modelv2_train_hap_000005,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-418-M-H.jpg,Happiness,Happy,train,Happy,0,0.6185236573219299,model_v2_pseudo,0.6185236573219299,0.23602509498596191,0.1015855073928833,0.043865710496902466
modelv2_train_hap_000006,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-430-M-H.jpg,Happiness,Happy,train,Happy,0,0.8360985517501831,model_v2_pseudo,0.8360985517501831,0.06530924141407013,0.058626800775527954,0.039965372532606125
modelv2_train_hap_000007,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-532-M-H.jpg,Happiness,Happy,train,Angry,2,0.5314217209815979,model_v2_pseudo,0.2687487304210663,0.04421920329332352,0.5314217209815979,0.15561024844646454
modelv2_train_hap_000008,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-544-M-H.jpg,Happiness,Happy,train,Sad,1,0.694877564907074,model_v2_pseudo,0.20221184194087982,0.694877564907074,0.06090601906180382,0.04200456663966179
modelv2_train_hap_000009,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-606-F-H.jpg,Happiness,Happy,train,Happy,0,0.8486484289169312,model_v2_pseudo,0.8486484289169312,0.04398229345679283,0.08388811349868774,0.02348119206726551
modelv2_train_hap_000010,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-619-F-H.jpg,Happiness,Happy,train,Happy,0,0.6988527178764343,model_v2_pseudo,0.6988527178764343,0.048932529985904694,0.21175052225589752,0.04046420007944107
modelv2_train_hap_000011,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-649-F-H.jpg,Happiness,Happy,train,Happy,0,0.34555819630622864,model_v2_pseudo,0.34555819630622864,0.31196069717407227,0.28850069642066956,0.053980421274900436
modelv2_train_hap_000012,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-655-F-H.jpg,Happiness,Happy,train,Angry,2,0.9164521098136902,model_v2_pseudo,0.024057138711214066,0.017457447946071625,0.9164521098136902,0.04203328862786293
modelv2_train_hap_000013,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-690-F-H.jpg,Happiness,Happy,train,Happy,0,0.6371617913246155,model_v2_pseudo,0.6371617913246155,0.022634223103523254,0.27274543046951294,0.06745856255292892
modelv2_train_hap_000014,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-71-M-H.jpg,Happiness,Happy,train,Happy,0,0.5913865566253662,model_v2_pseudo,0.5913865566253662,0.20636846125125885,0.15495386719703674,0.04729108884930611
modelv2_train_hap_000015,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-745-M-H.jpg,Happiness,Happy,train,Happy,0,0.8651179671287537,model_v2_pseudo,0.8651179671287537,0.052027300000190735,0.04772000014781952,0.035134799778461456
modelv2_train_hap_000016,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1A-875-F-H.jpg,Happiness,Happy,train,Happy,0,0.8221570253372192,model_v2_pseudo,0.8221570253372192,0.020611518993973732,0.10914729535579681,0.04808415099978447
modelv2_train_hap_000017,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1B-48-M-H.jpg,Happiness,Happy,train,Angry,2,0.3366791307926178,model_v2_pseudo,0.27456194162368774,0.28019705414772034,0.3366791307926178,0.10856189578771591
modelv2_train_hap_000018,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1B-482-M-H.jpg,Happiness,Happy,train,Angry,2,0.9570608735084534,model_v2_pseudo,0.019333159551024437,0.008631317876279354,0.9570608735084534,0.014974577352404594
modelv2_train_hap_000019,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1B-51-M-H.jpg,Happiness,Happy,train,Happy,0,0.9163349866867065,model_v2_pseudo,0.9163349866867065,0.03250347077846527,0.026479527354240417,0.024682004004716873
modelv2_train_hap_000020,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1B-676-M-H.jpg,Happiness,Happy,train,Fear,3,0.985741376876831,model_v2_pseudo,0.0034096194431185722,0.003105410374701023,0.007743594236671925,0.985741376876831
modelv2_train_hap_000021,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1B-711-M-H.jpg,Happiness,Happy,train,Happy,0,0.9430590271949768,model_v2_pseudo,0.9430590271949768,0.013857224956154823,0.02725275233387947,0.01583101786673069
modelv2_train_hap_000022,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1B-744-M-H.jpg,Happiness,Happy,train,Happy,0,0.8338103890419006,model_v2_pseudo,0.8338103890419006,0.04686111584305763,0.06259559839963913,0.056732963770627975
modelv2_train_hap_000023,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-103-M-H.jpg,Happiness,Happy,train,Happy,0,0.8578287959098816,model_v2_pseudo,0.8578287959098816,0.018874641507864,0.09400168806314468,0.029294811189174652
modelv2_train_hap_000024,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-1061-M-H.jpg,Happiness,Happy,train,Angry,2,0.8591564893722534,model_v2_pseudo,0.01763147860765457,0.10059189051389694,0.8591564893722534,0.02262013405561447
modelv2_train_hap_000025,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-1172-M-H.jpg,Happiness,Happy,train,Sad,1,0.8326552510261536,model_v2_pseudo,0.04251352325081825,0.8326552510261536,0.022062968462705612,0.10276822000741959
modelv2_train_hap_000026,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-1177-M-H.jpg,Happiness,Happy,train,Happy,0,0.9770764708518982,model_v2_pseudo,0.9770764708518982,0.003965658135712147,0.012102114036679268,0.006855670362710953
modelv2_train_hap_000027,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-206-F-H.jpg,Happiness,Happy,train,Sad,1,0.7079882025718689,model_v2_pseudo,0.1961032599210739,0.7079882025718689,0.05189935490489006,0.044009190052747726
modelv2_train_hap_000028,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-222-F-H.jpg,Happiness,Happy,train,Happy,0,0.9264549612998962,model_v2_pseudo,0.9264549612998962,0.017589187249541283,0.02913093753159046,0.026824818924069405
modelv2_train_hap_000029,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-249-F-H.jpg,Happiness,Happy,train,Angry,2,0.5010529160499573,model_v2_pseudo,0.2632892429828644,0.04989947751164436,0.5010529160499573,0.18575836718082428
modelv2_train_hap_000030,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-275-F-H.jpg,Happiness,Happy,train,Angry,2,0.9426321387290955,model_v2_pseudo,0.0407976396381855,0.004022232256829739,0.9426321387290955,0.012547936290502548
modelv2_train_hap_000031,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-277-F-H.jpg,Happiness,Happy,train,Happy,0,0.7390061020851135,model_v2_pseudo,0.7390061020851135,0.03523721545934677,0.1856672763824463,0.04008942097425461
modelv2_train_hap_000032,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-341-M-H.jpg,Happiness,Happy,train,Happy,0,0.958858072757721,model_v2_pseudo,0.958858072757721,0.0022223673295229673,0.032435838133096695,0.0064838039688766
modelv2_train_hap_000033,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\train\Happiness\101-1C-347-M-H.jpg,Happiness,Happy,train,Fear,3,0.7409082055091858,model_v2_pseudo,0.0981840267777443,0.024021487683057785,0.13688625395298004,0.7409082055091858
