sample_id,image_path,label,label_id,split,source,confidence
101-1B-676-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1B-676-M-H.jpg,Angry,2,test,qwen,1.0
101-1D-624-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1D-624-M-S.jpg,Angry,2,train,qwen,1.0
101-1D-853-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1D-853-F-S.jpg,Angry,2,train,qwen,1.0
101-1E-272-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1E-272-F-S.jpg,Angry,2,train,qwen,1.0
101-1H-236-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1H-236-M-S.jpg,Angry,2,train,qwen,1.0
101-1H-724-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1H-724-M-S.jpg,Angry,2,train,qwen,1.0
101-1I-1196-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-1196-M-S.jpg,Angry,2,val,qwen,1.0
101-1I-298-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-298-M-S.jpg,Angry,2,val,qwen,1.0
101-1I-348-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-348-M-H.jpg,Angry,2,train,qwen,1.0
101-1I-604-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-604-M-S.jpg,Angry,2,train,qwen,1.0
101-1I-725-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-725-M-S.jpg,Angry,2,train,qwen,1.0
101-1I-815-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-815-M-S.jpg,Angry,2,train,qwen,1.0
101-1Q-112-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1Q-112-F-S.jpg,Angry,2,train,qwen,1.0
101-1Q-137-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1Q-137-M-H.jpg,Angry,2,train,qwen,1.0
101-1Q-250-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1Q-250-F-S.jpg,Angry,2,train,qwen,1.0
101-2F-961-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-2F-961-M-S.jpg,Angry,2,train,qwen,1.0
101-3F-1093-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-1093-M-S.jpg,Angry,2,val,qwen,1.0
101-3F-328-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-328-F-S.jpg,Angry,2,train,qwen,1.0
101-3F-480-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-480-M-S.jpg,Angry,2,train,qwen,1.0
101-3F-639-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-639-F-S.jpg,Angry,2,train,qwen,1.0
101-3F-841-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-841-F-S.jpg,Angry,2,train,qwen,1.0
