sample_id,image_path,label,label_id,split,source,confidence
kido_Ha_00999,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion_4Class\train\Happy\240-5A-1355-F-H.jpg,Happy,0,train,kido,1.0
kido_Ha_00998,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion_4Class\train\Happy\205-7E-1095-F-H.jpg,Happy,0,train,kido,1.0
kido_Ha_00997,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion_4Class\train\Happy\110-4H-1113-M-H.jpg,Happy,0,train,kido,1.0
kido_Ha_00996,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion_4Class\train\Happy\280-5N-2298-F-H.jpg,Happy,0,train,kido,1.0
kido_Ha_00995,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion_4Class\train\Happy\110-3J-1099-M-H.jpg,Happy,0,train,kido,1.0
kido_Ha_00994,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion_4Class\train\Happy\203-6K-1480-F-H.jpg,Happy,0,train,kido,1.0
kido_Ha_00993,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion_4Class\test\Happy\112-4F-517-M-H.jpg,Happy,0,train,kido,1.0
kido_Ha_00992,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion_4Class\train\Happy\230-5B-445-M-H.jpg,Happy,0,train,kido,1.0
kido_Ha_00991,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion_4Class\train\Happy\110-3Z-1429-F-H.jpg,Happy,0,train,kido,1.0
kido_Ha_00990,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion_4Class\train\Happy\211-6E-369-M-H.jpg,Happy,0,train,kido,1.0
kido_Ha_00989,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion_4Class\train\Happy\216-7C-2559-F-H.jpg,Happy,0,train,kido,1.0
kido_Ha_00988,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion_4Class\train\Happy\106-3E-241-F-H.jpg,Happy,0,train,kido,1.0
kido_Ha_00987,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion_4Class\test\Happy\207-8F-391-F-H.jpg,Happy,0,train,kido,1.0
103-3G-1065-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\103-3G-1065-F-H.jpg,Happy,0,train,qwen,1.0
103-3C-914-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\103-3C-914-M-H.jpg,Happy,0,train,qwen,1.0
103-3C-1947-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\103-3C-1947-M-H.jpg,Happy,0,train,qwen,1.0
103-2O-1596-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\103-2O-1596-F-H.jpg,Happy,0,train,qwen,1.0
103-1A-1272-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\103-1A-1272-F-H.jpg,Happy,0,train,qwen,1.0
102-4D-87-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\102-4D-87-F-H.jpg,Happy,0,train,qwen,1.0
102-4D-767-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\102-4D-767-M-H.jpg,Happy,0,train,qwen,1.0
102-4C-888-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\102-4C-888-M-H.jpg,Happy,0,train,qwen,1.0
102-4B-43-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\102-4B-43-M-H.jpg,Happy,0,train,qwen,1.0
102-4A-454-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\102-4A-454-M-H.jpg,Happy,0,train,qwen,1.0
102-3G-700-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\102-3G-700-F-H.jpg,Happy,0,train,qwen,1.0
102-3G-529-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\102-3G-529-F-H.jpg,Happy,0,train,qwen,1.0
102-3F-668-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\102-3F-668-M-H.jpg,Happy,0,train,qwen,1.0
102-3E-588-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\102-3E-588-F-S.jpg,Happy,0,train,qwen,1.0
102-3C-653-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\102-3C-653-F-H.jpg,Happy,0,train,qwen,1.0
102-2F-446-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\102-2F-446-F-H.jpg,Happy,0,train,qwen,1.0
104-3Z-1751-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-3Z-1751-F-H.jpg,Happy,0,train,qwen,1.0
104-3Z-153-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-3Z-153-M-H.jpg,Happy,0,train,qwen,1.0
104-3L-873-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-3L-873-M-H.jpg,Happy,0,train,qwen,1.0
104-3C-404-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-3C-404-F-H.jpg,Happy,0,train,qwen,1.0
104-3C-1368-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-3C-1368-F-H.jpg,Happy,0,train,qwen,1.0
104-2Z-846-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-2Z-846-F-H.jpg,Happy,0,train,qwen,1.0
104-2Q-1382-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-2Q-1382-F-H.jpg,Happy,0,train,qwen,1.0
104-2H-2009-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-2H-2009-F-S.jpg,Happy,0,train,qwen,1.0
104-2D-317-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-2D-317-F-H.jpg,Happy,0,train,qwen,1.0
104-2D-1268-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-2D-1268-M-H.jpg,Happy,0,train,qwen,1.0
104-2D-1262-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-2D-1262-F-H.jpg,Happy,0,train,qwen,1.0
104-2A-96-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-2A-96-F-H.jpg,Happy,0,train,qwen,1.0
103-4L-1103-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\103-4L-1103-M-H.jpg,Happy,0,train,qwen,1.0
103-4C-410-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\103-4C-410-F-H.jpg,Happy,0,train,qwen,1.0
103-3H-2069-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\103-3H-2069-F-H.jpg,Happy,0,train,qwen,1.0
103-3G-1383-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\103-3G-1383-F-H.jpg,Happy,0,train,qwen,1.0
106-3A-171-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\106-3A-171-F-H.jpg,Happy,0,train,qwen,1.0
105-4E-78-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\105-4E-78-M-H.jpg,Happy,0,train,qwen,1.0
105-4D-626-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\105-4D-626-M-H.jpg,Happy,0,train,qwen,1.0
105-4D-192-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\105-4D-192-F-H.jpg,Happy,0,train,qwen,1.0
105-4C-1098-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\105-4C-1098-F-H.jpg,Happy,0,train,qwen,1.0
105-4A-51-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\105-4A-51-F-H.jpg,Happy,0,train,qwen,1.0
105-4A-191-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\105-4A-191-F-H.jpg,Happy,0,train,qwen,1.0
105-3E-386-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\105-3E-386-M-H.jpg,Happy,0,train,qwen,1.0
105-3E-173-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\105-3E-173-M-H.jpg,Happy,0,train,qwen,1.0
105-2F-167-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\105-2F-167-F-H.jpg,Happy,0,train,qwen,1.0
105-1Z-567-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\105-1Z-567-M-H.jpg,Happy,0,train,qwen,1.0
105-1Z-562-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\105-1Z-562-M-H.jpg,Happy,0,train,qwen,1.0
105-1B-472-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\105-1B-472-F-H.jpg,Happy,0,train,qwen,1.0
104-4Z-313-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-4Z-313-F-H.jpg,Happy,0,train,qwen,1.0
104-4B-2535-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-4B-2535-M-H.jpg,Happy,0,train,qwen,1.0
104-4B-159-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\104-4B-159-F-H.jpg,Happy,0,train,qwen,1.0
108-3E-233-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\108-3E-233-M-H.jpg,Happy,0,train,qwen,1.0
108-3E-1779-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\108-3E-1779-F-H.jpg,Happy,0,train,qwen,1.0
108-3E-1756-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\108-3E-1756-F-H.jpg,Happy,0,train,qwen,1.0
108-3C-44-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\108-3C-44-M-H.jpg,Happy,0,train,qwen,1.0
107-4F-1573-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\107-4F-1573-F-H.jpg,Happy,0,train,qwen,1.0
107-4D-1563-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\107-4D-1563-M-H.jpg,Happy,0,train,qwen,1.0
107-4B-911-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\107-4B-911-F-H.jpg,Happy,0,train,qwen,1.0
107-4B-1737-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\107-4B-1737-F-H.jpg,Happy,0,train,qwen,1.0
107-3F-124-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\107-3F-124-F-H.jpg,Happy,0,train,qwen,1.0
107-2G-933-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\107-2G-933-M-H.jpg,Happy,0,train,qwen,1.0
107-2G-794-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\107-2G-794-F-H.jpg,Happy,0,train,qwen,1.0
106-4G-1769-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\106-4G-1769-M-H.jpg,Happy,0,train,qwen,1.0
106-4B-1015-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\106-4B-1015-M-H.jpg,Happy,0,train,qwen,1.0
106-3C-759-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\106-3C-759-F-H.jpg,Happy,0,train,qwen,1.0
106-3B-1752-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\106-3B-1752-F-H.jpg,Happy,0,train,qwen,1.0
106-3A-194-F-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\happy\106-3A-194-F-H.jpg,Happy,0,train,qwen,1.0
