sample_id,image_path,label,label_id,split
101-1B-676-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1B-676-M-H.jpg,Angry,2,test
101-1D-624-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1D-624-M-S.jpg,Angry,2,train
101-1D-853-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1D-853-F-S.jpg,Angry,2,train
101-1E-272-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1E-272-F-S.jpg,Angry,2,train
101-1H-236-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1H-236-M-S.jpg,Angry,2,train
101-1H-724-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1H-724-M-S.jpg,Angry,2,train
101-1I-1196-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-1196-M-S.jpg,Angry,2,val
101-1I-298-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-298-M-S.jpg,Angry,2,val
101-1I-348-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-348-M-H.jpg,Angry,2,train
101-1I-604-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-604-M-S.jpg,Angry,2,train
101-1I-725-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-725-M-S.jpg,Angry,2,train
101-1I-815-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-815-M-S.jpg,Angry,2,train
101-1Q-112-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1Q-112-F-S.jpg,Angry,2,train
101-1Q-137-M-H,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1Q-137-M-H.jpg,Angry,2,train
101-1Q-250-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1Q-250-F-S.jpg,Angry,2,train
101-2F-961-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-2F-961-M-S.jpg,Angry,2,train
101-3F-1093-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-1093-M-S.jpg,Angry,2,val
101-3F-328-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-328-F-S.jpg,Angry,2,train
101-3F-480-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-480-M-S.jpg,Angry,2,train
101-3F-639-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-639-F-S.jpg,Angry,2,train
101-3F-841-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-841-F-S.jpg,Angry,2,train
101-3F-955-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-955-M-S.jpg,Angry,2,train
101-3I-132-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3I-132-F-S.jpg,Angry,2,test
101-4C-1004-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-4C-1004-M-S.jpg,Angry,2,train
101-4C-551-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-4C-551-M-S.jpg,Angry,2,train
101-4E-1263-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-4E-1263-F-S.jpg,Angry,2,train
101-4E-893-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-4E-893-M-S.jpg,Angry,2,val
101-4F-867-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-4F-867-M-S.jpg,Angry,2,train
102-1C-197-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-1C-197-M-S.jpg,Angry,2,train
102-1D-1087-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-1D-1087-M-S.jpg,Angry,2,test
102-1D-345-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-1D-345-F-S.jpg,Angry,2,train
102-1E-1096-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-1E-1096-M-S.jpg,Angry,2,train
102-1E-613-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-1E-613-M-S.jpg,Angry,2,val
102-2A-868-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-2A-868-F-S.jpg,Angry,2,test
102-2B-466-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-2B-466-M-S.jpg,Angry,2,train
102-2B-888-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-2B-888-F-S.jpg,Angry,2,train
102-2C-136-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-2C-136-F-S.jpg,Angry,2,train
102-2F-1008-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-2F-1008-F-S.jpg,Angry,2,train
102-2F-961-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-2F-961-F-S.jpg,Angry,2,test
102-2G-996-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-2G-996-F-S.jpg,Angry,2,train
102-3E-588-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-3E-588-F-S.jpg,Angry,2,val
102-3E-696-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-3E-696-F-S.jpg,Angry,2,val
102-4A-612-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-4A-612-F-S.jpg,Angry,2,train
102-4C-46-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-4C-46-F-S.jpg,Angry,2,train
102-4C-748-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-4C-748-M-S.jpg,Angry,2,train
103-2N-1147-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\103-2N-1147-M-S.jpg,Angry,2,train
103-2N-1713-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\103-2N-1713-M-S.jpg,Angry,2,train
103-2N-2043-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\103-2N-2043-F-S.jpg,Angry,2,train
103-2N-44-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\103-2N-44-M-S.jpg,Angry,2,train
103-2N-71-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\103-2N-71-F-S.jpg,Angry,2,val
103-3B-1018-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\103-3B-1018-M-S.jpg,Angry,2,test
103-3B-1645-M-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\103-3B-1645-M-S.jpg,Angry,2,train
103-3C-56-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\103-3C-56-F-S.jpg,Angry,2,test
103-3E-1001-F-S,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\103-3E-1001-F-S.jpg,Angry,2,test
