sample_id,image_path,label,label_id,split,source,confidence
qwen_2_000000,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1B-676-M-H.jpg,Angry,2,test,qwen,1.0
qwen_2_000001,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1D-624-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000002,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1D-853-F-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000003,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1E-272-F-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000004,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1H-236-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000005,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1H-724-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000006,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-1196-M-S.jpg,Angry,2,val,qwen,1.0
qwen_2_000007,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-298-M-S.jpg,Angry,2,val,qwen,1.0
qwen_2_000008,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-348-M-H.jpg,Angry,2,train,qwen,1.0
qwen_2_000009,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-604-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000010,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-725-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000011,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1I-815-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000012,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1Q-112-F-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000013,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1Q-137-M-H.jpg,Angry,2,train,qwen,1.0
qwen_2_000014,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-1Q-250-F-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000015,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-2F-961-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000016,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-1093-M-S.jpg,Angry,2,val,qwen,1.0
qwen_2_000017,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-328-F-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000018,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-480-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000019,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-639-F-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000020,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-841-F-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000021,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3F-955-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000022,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-3I-132-F-S.jpg,Angry,2,test,qwen,1.0
qwen_2_000023,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-4C-1004-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000024,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-4C-551-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000025,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-4E-1263-F-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000026,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-4E-893-M-S.jpg,Angry,2,val,qwen,1.0
qwen_2_000027,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\101-4F-867-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000028,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-1C-197-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000029,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-1D-1087-M-S.jpg,Angry,2,test,qwen,1.0
qwen_2_000030,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-1D-345-F-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000031,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-1E-1096-M-S.jpg,Angry,2,train,qwen,1.0
qwen_2_000032,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-1E-613-M-S.jpg,Angry,2,val,qwen,1.0
qwen_2_000033,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-2A-868-F-S.jpg,Angry,2,test,qwen,1.0
qwen_2_000034,C:\Users\alper\Desktop\CCDDA\dataset_qwen_selected\angry\102-2B-466-M-S.jpg,Angry,2,train,qwen,1.0
