sample_id,image_path,rel_path,label,label_id,original_label,split,source
images_00000000,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\test\Happiness\101-1A-369-F-H.jpg,Emotion/test/Happiness/101-1A-369-F-H.jpg,Happy,0,Happiness,test,Dataset/Images
images_00000001,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\test\Happiness\101-1B-102-M-H.jpg,Emotion/test/Happiness/101-1B-102-M-H.jpg,Happy,0,Happiness,test,Dataset/Images
images_00000002,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\test\Happiness\101-1B-212-F-H.jpg,Emotion/test/Happiness/101-1B-212-F-H.jpg,Happy,0,Happiness,test,Dataset/Images
images_00000003,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\test\Happiness\101-1B-233-F-H.jpg,Emotion/test/Happiness/101-1B-233-F-H.jpg,Happy,0,Happiness,test,Dataset/Images
images_00000004,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\test\Happiness\101-1B-261-F-H.jpg,Emotion/test/Happiness/101-1B-261-F-H.jpg,Happy,0,Happiness,test,Dataset/Images
images_00000005,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\test\Happiness\101-1B-267-F-H.jpg,Emotion/test/Happiness/101-1B-267-F-H.jpg,Happy,0,Happiness,test,Dataset/Images
images_00000006,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\test\Happiness\101-1B-663-M-H.jpg,Emotion/test/Happiness/101-1B-663-M-H.jpg,Happy,0,Happiness,test,Dataset/Images
images_00000007,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\test\Happiness\101-1C-1219-M-H.jpg,Emotion/test/Happiness/101-1C-1219-M-H.jpg,Happy,0,Happiness,test,Dataset/Images
images_00000008,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\test\Happiness\101-1C-244-F-H.jpg,Emotion/test/Happiness/101-1C-244-F-H.jpg,Happy,0,Happiness,test,Dataset/Images
images_00000009,C:\Users\alper\Desktop\CCDDA\Dataset\Images\Emotion\test\Happiness\101-1C-555-M-H.jpg,Emotion/test/Happiness/101-1C-555-M-H.jpg,Happy,0,Happiness,test,Dataset/Images
